sim_time,robot_id,state,pos_x,pos_y,goal_x,goal_y,active_plan_source,active_plan_epoch,controller_epoch,controller_waypoint_idx,waypoints,current_task,hold_until,speed_scale,heading,emergency_braking,joint_wait_reason,joint_wait_until,replan_requested
0.512,1,en_route_pickup,-4.000,3.000,-6.000,3.500,None,None,0,0,1,1,0.000,1.00,-0.001,False,None,0.000,False
0.512,2,idle,-4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
0.512,3,idle,4.000,3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
0.512,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
0.512,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
0.512,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
0.512,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
0.512,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
1.024,1,en_route_pickup,-4.023,2.991,-6.000,3.500,joint_grid_transaction,1,1,1,9,1,0.000,1.00,0.525,False,None,0.000,False
1.024,2,idle,-4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
1.024,3,idle,4.000,3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
1.024,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
1.024,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
1.024,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
1.024,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
1.024,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
1.536,1,en_route_pickup,-4.075,2.943,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00,1.027,False,None,0.000,False
1.536,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00,-0.001,False,None,0.000,False
1.536,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00,3.142,False,None,0.000,False
1.536,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
1.536,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
1.536,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
1.536,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
1.536,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
2.048,1,en_route_pickup,-4.088,2.921,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00,1.774,False,None,0.000,False
2.048,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00,-0.001,False,None,0.000,False
2.048,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00,3.142,False,None,0.000,False
2.048,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
2.048,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
2.048,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
2.048,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
2.048,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
2.560,1,en_route_pickup,-4.118,2.968,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00,2.357,False,None,0.000,False
2.560,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00,-0.001,False,None,0.000,False
2.560,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00,3.142,False,None,0.000,False
2.560,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
2.560,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
2.560,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
2.560,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
2.560,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
3.072,1,en_route_pickup,-4.157,3.000,-6.000,3.500,joint_grid_transaction,1,1,2,9,1,0.000,1.00,2.762,False,None,0.000,False
3.072,2,en_route_pickup,-4.000,-3.000,-1.000,1.500,None,None,0,0,4,2,0.000,1.00,-0.001,False,None,0.000,False
3.072,3,en_route_pickup,4.000,3.000,-3.000,1.500,None,None,0,0,2,3,0.000,1.00,3.142,False,None,0.000,False
3.072,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
3.072,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
3.072,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00,1.571,False,None,0.000,False
3.072,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,-0.001,False,None,0.000,False
3.072,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00,3.142,False,None,0.000,False
